dates,abl,abl_kwl,abl_strm,rn,rn_kwl,rn_strm,snw,rn_dist,rn_kwldist,rn_strmdist,inputs,inputs_kwl,rad,temp,rad_strm,temp_strm
30.04.2017 16:00,0,0,0,0,0,0,12543.64258,0,0,0,0,0,393.5751343,-7.62456131,393.5751343,-7.62456131
30.04.2017 19:00,0,0,0,0,0,0,0,0,0,0,0,0,25.15050697,-8.212925911,25.15050697,-8.212925911
30.04.2017 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.412029266,0,-8.412029266
01.05.2017 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.199287415,0,-9.199287415
01.05.2017 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.175436974,0,-9.175436974
01.05.2017 7:00,0,0,0,0,0,0,0,0,0,0,0,0,149.8137207,-9.647287369,149.8137207,-9.647287369
01.05.2017 10:00,0,0,0,0,0,0,0,0,0,0,0,0,539.3476563,-9.57013607,539.3476563,-9.57013607
01.05.2017 13:00,0,0,0,0,0,0,0,0,0,0,0,0,650.7665405,-9.078846931,650.7665405,-9.078846931
01.05.2017 16:00,0,0,0,0,0,0,127923.1563,0,0,0,0,0,403.7518921,-8.208040237,403.7518921,-8.208040237
01.05.2017 19:00,0,0,0,0,0,0,0,0,0,0,0,0,29.6686058,-8.804806709,29.6686058,-8.804806709
01.05.2017 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.269627571,0,-9.269627571
02.05.2017 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.022257805,0,-9.022257805
02.05.2017 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.705122948,0,-8.705122948
02.05.2017 7:00,0,0,0,0,0,0,0,0,0,0,0,0,147.8484497,-8.079176903,147.8484497,-8.079176903
02.05.2017 10:00,0,0,0,0,0,0,0,0,0,0,0,0,538.8865967,-7.176799297,538.8865967,-7.176799297
02.05.2017 13:00,0,0,0,0,0,0,0,0,0,0,0,0,656.5431519,-6.731363773,656.5431519,-6.731363773
02.05.2017 16:00,0,0,0,0,0,0,431705.7813,0,0,0,0,0,413.8930664,-5.927399158,413.8930664,-5.927399158
02.05.2017 19:00,0,0,0,0,0,0,0,0,0,0,0,0,35.60455704,-7.355422974,35.60455704,-7.355422974
02.05.2017 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.781487942,0,-7.781487942
03.05.2017 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.561199188,0,-8.561199188
03.05.2017 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.263602257,0,-8.263602257
